TIME,WBHP:P1,WBHP:P2,WBHP:P3,WOPR:P1,WOPR:P2,WOPR:P3,WWPR:P1,WWPR:P2,WWPR:P3,WWCT:P1,WWCT:P2,WWCT:P3
4.375,3168.5464,3282.0298,3257.4019,276.83932,609.50171,258.59436,23.160667,190.49826,41.40564,0.077202223,0.23812282,0.1380188
4.4166665,3169.1255,3280.4478,3257.7678,276.65067,609.8197,258.44537,23.349321,190.1803,41.554634,0.077831075,0.23772538,0.13851546
4.4583335,3169.7026,3278.8879,3258.1284,276.46292,610.13513,258.29822,23.537085,189.86488,41.701775,0.078456953,0.23733111,0.13900591
4.5,3170.2778,3277.3496,3258.4836,276.27603,610.448,258.15292,23.723955,189.552,41.847084,0.079079852,0.23694001,0.13949028
4.5416665,3170.8506,3275.8325,3258.8337,276.09006,610.75836,258.0094,23.909929,189.24164,41.990589,0.079699762,0.23655206,0.13996863
4.5833335,3171.4214,3274.3357,3259.1787,275.905,611.06622,257.86768,24.095005,188.93378,42.132313,0.080316685,0.23616722,0.14044105
4.625,3171.99,3272.8586,3259.5186,275.72083,611.37164,257.72772,24.279179,188.62837,42.272285,0.080930598,0.23578547,0.14090762
4.6666665,3172.5562,3271.4006,3259.8533,275.53754,611.67456,257.58948,24.46245,188.32544,42.41053,0.081541501,0.2354068,0.14136843
4.7083335,3173.1204,3269.9614,3260.1831,275.35519,611.9751,257.45294,24.644815,188.02493,42.54707,0.082149386,0.23503117,0.14182356
4.75,3173.6821,3268.5405,3260.5081,275.17374,612.27313,257.31808,24.826275,187.72685,42.681927,0.082754247,0.23465855,0.14227308
4.7916665,3174.2415,3267.1372,3260.8281,274.99316,612.56885,257.18488,25.006826,187.43115,42.815128,0.083356082,0.23428895,0.14271709
4.8333335,3174.7986,3265.7512,3261.1433,274.81354,612.86212,257.05331,25.186468,187.13785,42.946697,0.083954893,0.23392232,0.14315566
4.875,3175.3533,3264.3818,3261.4539,274.6348,613.15308,256.92334,25.365198,186.84691,43.076656,0.084550664,0.23355864,0.14358884
4.9166665,3175.9058,3263.0291,3261.7598,274.45697,613.44171,256.79498,25.543018,186.55832,43.205025,0.085143395,0.2331979,0.14401674
4.9583335,3176.4556,3261.6924,3262.061,274.28006,613.72797,256.66818,25.719925,186.27205,43.331825,0.085733086,0.23284006,0.14443943
5,3177.0032,3260.3711,3262.3577,274.10406,614.0119,256.54291,25.89592,185.9881,43.457085,0.08631973,0.23248512,0.14485694
5.0416665,3177.5481,3259.0652,3262.6499,273.92899,614.29358,256.41919,26.071001,185.70642,43.580822,0.086903341,0.23213303,0.14526939
5.0833335,3178.0908,3257.7742,3262.9375,273.75482,614.57294,256.29694,26.245171,185.42703,43.703053,0.087483898,0.23178379,0.14567685
5.125,3178.6309,3256.4976,3263.2209,273.58157,614.8501,256.17621,26.418425,185.1499,43.823807,0.088061415,0.23143739,0.14607935
5.1666665,3179.1685,3255.2354,3263.5,273.40924,615.125,256.05692,26.590767,184.87502,43.943096,0.088635892,0.23109378,0.14647698
5.2083335,3179.7034,3253.9868,3263.7747,273.23779,615.39764,255.93906,26.762196,184.60236,44.060944,0.089207321,0.23075294,0.14686982
5.25,3180.2358,3252.7522,3264.0452,273.06729,615.66809,255.82263,26.932713,184.33189,44.177372,0.089775704,0.23041488,0.14725791
5.2916665,3180.7656,3251.5308,3264.3115,272.89767,615.93634,255.7076,27.102316,184.06364,44.2924,0.090341054,0.23007955,0.14764133
5.3333335,3181.293,3250.3223,3264.5737,272.729,616.20245,255.59396,27.271009,183.79755,44.406044,0.090903364,0.22974694,0.14802015
5.375,3181.8179,3249.1267,3264.8318,272.56122,616.46637,255.48167,27.438791,183.53363,44.518322,0.091462635,0.22941703,0.14839441
5.4166665,3182.3398,3247.9436,3265.0859,272.39435,616.72815,255.37074,27.605663,183.27184,44.629257,0.09201888,0.2290898,0.14876419
5.4583335,3182.8594,3246.7727,3265.3362,272.22836,616.98779,255.26114,27.771627,183.01219,44.738865,0.092572093,0.22876523,0.14912954
5.5,3183.3762,3245.614,3265.5823,272.06332,617.24536,255.15285,27.936684,182.75464,44.84716,0.093122281,0.22844331,0.14949054
5.5416665,3183.8906,3584.2542,3265.8247,271.89917,463.00757,255.04584,28.100834,136.99243,44.954166,0.093669444,0.2283207,0.14984722
5.5833335,3184.4021,3595.2324,3266.0632,271.73593,463.08325,254.94011,28.264078,136.91676,45.059895,0.094213597,0.22819459,0.15019965
5.625,3184.9111,3603.4753,3266.2981,271.57358,463.17581,254.83563,28.42642,136.82417,45.164371,0.094754733,0.22804029,0.15054791
5.6666665,3185.4175,3609.8511,3266.5291,271.41214,463.27859,254.73239,28.58786,136.72139,45.267605,0.095292866,0.22786899,0.150892
5.7083335,3185.9209,3614.8616,3266.7566,271.25159,463.38846,254.63039,28.7484,136.61156,45.369614,0.095827997,0.22768593,0.15123203
5.75,3186.4219,3618.8469,3266.9802,271.09195,463.50336,254.52959,28.908041,136.49664,45.470413,0.09636014,0.2274944,0.15156804
5.7916665,3186.9202,3622.0498,3267.2004,270.93323,463.62195,254.42998,29.066786,136.37804,45.570023,0.096889287,0.22729674,0.15190008
5.8333335,3187.4158,3624.6487,3267.4172,270.77536,463.74323,254.33154,29.224636,136.25677,45.668457,0.097415455,0.22709464,0.15222819
5.875,3187.9084,3626.7747,3267.6304,270.61841,463.86639,254.23427,29.381594,136.13361,45.765732,0.097938649,0.22688934,0.15255244
5.9166665,3188.3987,3628.5261,3267.8401,270.46234,463.99094,254.13814,29.537661,136.00906,45.861862,0.098458871,0.22668177,0.15287288
5.9583335,3188.8862,3629.9778,3268.0464,270.30716,464.11639,254.04314,29.692841,135.88359,45.95686,0.098976135,0.22647266,0.15318954
6,3189.3708,3631.1865,3268.2493,270.15286,464.24249,253.94925,29.847134,135.75752,46.050747,0.099490441,0.22626252,0.15350249
6.0416665,3189.8528,3632.1963,3268.449,269.99945,464.36893,253.85648,30.000544,135.63107,46.143532,0.10000181,0.22605179,0.15381177
6.0833335,3190.3323,3633.0417,3268.6455,269.84692,464.49551,253.76477,30.153072,135.50447,46.235229,0.10051024,0.22584079,0.15411744
6.125,3190.8088,3633.7495,3268.8386,269.69528,464.62213,253.67415,30.304722,135.37785,46.325859,0.10101574,0.22562976,0.15441953
6.1666665,3191.2827,3634.3413,3269.0286,269.54449,464.74866,253.58458,30.455496,135.25136,46.415428,0.10151832,0.22541893,0.1547181
6.2083335,3191.7537,3634.8345,3269.2153,269.39459,464.87494,253.49605,30.605394,135.12506,46.503956,0.10201798,0.22520843,0.15501319
6.25,3192.2222,3635.2429,3269.3992,269.24557,465.00098,253.40855,30.754425,134.99904,46.59145,0.10251475,0.2249984,0.15530483
6.2916665,3192.688,3635.5786,3269.5798,269.09741,465.12662,253.32207,30.902586,134.87337,46.677933,0.10300862,0.22478895,0.1555931
6.3333335,3193.1509,3635.8508,3269.7573,268.9501,465.25189,253.23659,31.049883,134.74809,46.763409,0.10349961,0.22458017,0.15587802
6.375,3193.6111,3636.0674,3269.9319,268.80368,465.37674,253.1521,31.196316,134.62326,46.847893,0.10398772,0.22437212,0.15615964
6.4166665,3194.0688,3636.2349,3270.1035,268.65811,465.5011,253.0686,31.34189,134.49892,46.931404,0.10447297,0.22416486,0.15643801
6.4583335,3194.5237,3636.3591,3270.2725,268.5134,465.62494,252.98605,31.486609,134.37506,47.013947,0.10495536,0.22395845,0.15671316
6.5,3194.9758,3636.4448,3270.4382,268.36954,465.74826,252.90446,31.630472,134.25174,47.095535,0.10543491,0.22375292,0.15698512
6.5416665,3195.4253,3636.4963,3270.6013,268.2265,465.87103,252.82381,31.773485,134.12898,47.176189,0.10591162,0.22354829,0.15725397
6.5833335,3195.8718,3636.5166,3270.7615,268.08435,465.99323,252.74409,31.915651,134.00677,47.255909,0.10638551,0.22334462,0.1575197
6.625,3196.3159,3636.5095,3270.9189,267.94302,466.11484,252.66528,32.056973,133.88515,47.334717,0.10685658,0.22314192,0.15778239
6.6666665,3196.7573,3636.4771,3271.0737,267.80255,466.23587,252.58739,32.197456,133.76413,47.412617,0.10732485,0.22294021,0.15804206
6.7083335,3197.1958,3636.4219,3271.2258,267.6629,466.35629,252.51038,32.337097,133.64369,47.489628,0.10779033,0.2227395,0.15829876
6.75,3197.6318,3636.3462,3271.3752,267.52408,466.4761,252.43425,32.475906,133.52388,47.565754,0.10825302,0.22253981,0.15855251
6.7916665,3198.0652,3636.2517,3271.522,267.38611,466.59531,252.35899,32.613884,133.40469,47.64101,0.10871295,0.22234115,0.15880337
6.8333335,3198.4956,3636.1399,3271.6663,267.24896,466.7139,252.28459,32.751034,133.28612,47.715408,0.10917011,0.22214353,0.15905136
6.875,3198.9236,3636.0125,3271.8079,267.11264,466.83182,252.21104,32.887356,133.16817,47.788956,0.10962453,0.22194695,0.15929653
6.9166665,3199.3489,3635.8708,3271.947,266.97714,466.94913,252.13834,33.022861,133.05087,47.861668,0.1100762,0.22175144,0.15953889
6.9583335,3199.7715,3635.7158,3272.0835,266.84247,467.0658,252.06645,33.157547,132.93419,47.933552,0.11052515,0.22155699,0.15977851
7,3200.1912,3635.5486,3272.2175,266.70859,467.18182,251.99538,33.291416,132.81816,48.00462,0.11097139,0.2213636,0.1600154
7.0416665,3200.6086,3635.3704,3272.3494,266.57553,467.29724,251.92513,33.424477,132.70277,48.074883,0.11141492,0.22117129,0.16024961
7.0833335,3201.0232,3635.1819,3272.4788,266.44327,467.41199,251.85565,33.556728,132.58801,48.144348,0.11185576,0.22098003,0.16048115
7.125,3201.4351,3634.9839,3272.6057,266.31183,467.52609,251.78697,33.688179,132.47391,48.213028,0.11229392,0.22078985,0.1607101
7.1666665,3201.8445,3634.7769,3272.7302,266.18118,467.63956,251.71907,33.818825,132.36046,48.28093,0.11272942,0.22060075,0.16093643
7.2083335,3202.2512,3634.562,3272.8525,266.05133,467.75238,251.65193,33.948677,132.24763,48.348068,0.11316226,0.22041273,0.16116022
7.25,3202.6553,3634.3396,3272.9724,265.92227,467.86453,251.58556,34.077736,132.13547,48.414448,0.11359245,0.22022577,0.16138148
7.2916665,3203.0566,3634.1104,3273.0903,265.79401,467.97607,251.51993,34.206001,132.02393,48.48008,0.11402,0.22003989,0.16160026
7.3333335,3203.4556,3633.8745,3273.2058,265.6665,468.08694,251.45503,34.333485,131.91304,48.544975,0.11444495,0.21985507,0.16181658
7.375,3203.8518,3633.6328,3273.3191,265.53983,468.1972,251.39085,34.460182,131.8028,48.609138,0.11486728,0.21967134,0.16203046
