TIME,WBHP:P1,WBHP:P2,WBHP:P3,WOPR:P1,WOPR:P2,WOPR:P3,WWPR:P1,WWPR:P2,WWPR:P3,WWCT:P1,WWCT:P2,WWCT:P3
14.375,4167.3716,2928.8,4145.5073,68.6754,407.90533,147.51913,131.3246,992.09467,352.48087,0.65662301,0.70863903,0.70496172
14.416667,4167.5161,2928.7458,4145.8262,68.669388,407.97672,147.52223,131.33061,992.02325,352.47775,0.65665305,0.70858806,0.70495552
14.458333,4167.6616,2928.6912,4146.1133,68.663391,408.04785,147.52545,131.33661,991.95215,352.47455,0.65668303,0.70853728,0.70494908
14.5,4167.8066,2928.6357,4146.376,68.657402,408.11871,147.52875,131.34261,991.88129,352.47125,0.65671301,0.70848662,0.70494246
14.541667,4167.9512,2928.5796,4146.6196,68.651421,408.18933,147.53214,131.34859,991.81067,352.46786,0.65674293,0.70843619,0.70493573
14.583333,4165.8545,2928.4934,1992.51,68.649269,408.26007,979.28027,131.35074,991.73993,2320.7197,0.65675366,0.70838565,0.70324838
14.625,4161.4878,2928.3342,1860.3969,68.650658,408.33142,982.97449,131.34933,991.66858,2317.0254,0.65674669,0.70833468,0.70212895
14.666667,4155.4102,2928.0613,1769.8113,68.654579,408.40381,985.55096,131.34543,991.59619,2314.449,0.65672714,0.70828301,0.70134819
14.708333,4148.1406,2927.6421,1704.5397,68.660812,408.47769,987.45782,131.33919,991.52234,2312.5422,0.6566959,0.70823026,0.70077038
14.75,4140.2026,2927.0552,1655.3685,68.668358,408.55325,988.93719,131.33165,991.44678,2311.0627,0.65665823,0.70817626,0.70032209
14.791667,4131.9385,2926.2896,1616.8282,68.676598,408.63065,990.13251,131.32341,991.36932,2309.8674,0.65661705,0.70812094,0.69995987
14.833333,4123.5796,2925.3433,1585.5662,68.68512,408.70993,991.13214,131.31488,991.2901,2308.8679,0.65657443,0.70806432,0.6996569
14.875,4115.2764,2924.2205,1559.4637,68.693649,408.79099,991.99219,131.30635,991.20898,2308.0078,0.65653175,0.70800644,0.69939631
14.916667,4107.1221,2922.9299,1537.1418,68.702011,408.87378,992.74927,131.29799,991.12622,2307.2507,0.65648991,0.70794731,0.69916689
14.958333,4099.1597,2921.4846,1517.675,68.710289,408.9581,993.42804,131.2897,991.04187,2306.572,0.65644854,0.70788705,0.6989612
15,4091.4316,2919.8987,1500.4244,68.718353,409.04385,994.04553,131.28165,990.95618,2305.9543,0.65640825,0.70782584,0.6987741
15.041667,4083.9556,2918.1858,1484.9369,68.726151,409.1308,994.61389,131.27385,990.8692,2305.386,0.65636927,0.70776373,0.69860184
15.083333,4076.738,2916.3601,1470.8818,68.73365,409.21884,995.14197,131.26636,990.78119,2304.8579,0.65633178,0.70770085,0.6984418
15.125,4069.7776,2914.4355,1458.0129,68.740837,409.30777,995.63641,131.25916,990.6922,2304.3635,0.65629578,0.70763731,0.69829202
15.166667,4063.0688,2912.4253,1446.1418,68.747719,409.39749,996.10229,131.25227,990.60254,2303.8977,0.65626138,0.70757324,0.69815081
15.208333,4056.6028,2910.3413,1435.1219,68.754295,409.48779,996.54352,131.2457,990.51221,2303.4565,0.65622848,0.70750874,0.69801712
15.25,4050.3691,2908.1948,1424.837,68.760574,409.57858,996.96332,131.23943,990.42145,2303.0366,0.65619713,0.70744389,0.69788992
15.291667,4044.3569,2905.9961,1415.1934,68.766563,409.66974,997.36414,131.23343,990.33026,2302.636,0.65616715,0.70737875,0.69776845
15.333333,4038.5552,2903.7544,1406.1141,68.772278,409.76117,997.74811,131.22772,990.23883,2302.252,0.6561386,0.70731348,0.6976521
15.375,4032.9526,2901.478,1397.5356,68.777725,409.85275,998.11694,131.22227,990.14728,2301.8831,0.65611136,0.70724803,0.69754034
15.416667,4027.5386,2899.1743,1389.4049,68.782921,409.9444,998.47217,131.21707,990.0556,2301.5278,0.65608537,0.70718259,0.6974327
15.458333,4022.3025,2896.8496,1381.6764,68.78788,410.03607,998.81488,131.21211,989.96393,2301.1851,0.65606058,0.70711708,0.69732881
15.5,4017.2346,2894.5095,1374.3119,68.792618,410.12766,999.1463,131.20738,989.87231,2300.8538,0.65603691,0.70705169,0.69722837
15.541667,4012.3257,2892.1594,1367.2778,68.797134,410.21915,999.46722,131.20287,989.78088,2300.5327,0.65601432,0.70698631,0.69713116
15.583333,4007.5674,2889.8032,1360.5455,68.801445,410.31042,999.7785,131.19856,989.68958,2300.2214,0.65599281,0.7069211,0.6970368
15.625,4002.9509,2887.4451,1354.0896,68.805565,410.40152,1000.0808,131.19444,989.59845,2299.9192,0.65597218,0.70685607,0.69694519
15.666667,3998.469,2885.0884,1347.8881,68.809502,410.49237,1000.3748,131.19051,989.50763,2299.6252,0.65595251,0.70679116,0.69685614
15.708333,3994.1143,2882.7356,1341.9211,68.813263,410.58292,1000.6609,131.18674,989.41711,2299.3391,0.65593368,0.70672649,0.69676942
15.75,3989.8806,2880.3894,1336.1715,68.816856,410.67316,1000.9398,131.18314,989.32684,2299.0603,0.65591574,0.70666206,0.6966849
15.791667,3985.7612,2878.0518,1330.6237,68.820297,410.76303,1001.2117,131.1797,989.23694,2298.7883,0.65589851,0.70659781,0.69660252
15.833333,3981.7507,2875.7249,1325.2635,68.823586,410.85257,1001.4772,131.17641,989.1474,2298.5227,0.65588206,0.70653385,0.69652206
15.875,3977.8433,2873.4099,1320.0787,68.826736,410.94174,1001.7365,131.17326,989.05823,2298.2634,0.65586632,0.70647019,0.6964435
15.916667,3974.0344,2871.1084,1315.0579,68.82975,411.03052,1001.9901,131.17026,988.96948,2298.01,0.65585124,0.70640677,0.69636667
15.958333,3970.3188,2868.8215,1310.1907,68.832634,411.11887,1002.238,131.16737,988.8811,2297.762,0.65583682,0.70634365,0.69629151
16,3966.6926,2866.5498,1305.4678,68.835396,411.20682,1002.4808,131.16461,988.79315,2297.5193,0.65582305,0.70628083,0.69621795
16.041666,3963.1516,2864.2944,1300.8809,68.838036,411.29434,1002.7186,131.16196,988.70563,2297.2815,0.65580982,0.7062183,0.69614589
16.083334,3959.6914,2862.0559,1296.4219,68.840569,411.38144,1002.9515,131.15942,988.61853,2297.0483,0.65579712,0.70615613,0.69607526
16.125,3956.3091,2859.8347,1292.0839,68.842995,411.46811,1003.1799,131.157,988.53186,2296.8201,0.65578502,0.70609421,0.69600606
16.166666,3953.0007,2857.6311,1287.8602,68.845322,411.55435,1003.404,131.15468,988.44568,2296.5959,0.6557734,0.70603263,0.69593817
16.208334,3949.7634,2855.4458,1283.745,68.847549,411.64014,1003.6238,131.15245,988.35986,2296.3762,0.65576226,0.70597136,0.69587159
16.25,3946.5942,2853.2788,1279.7324,68.849678,411.72546,1003.8396,131.15031,988.27454,2296.1604,0.65575159,0.70591038,0.69580621
16.291666,3943.49,2851.1301,1275.8176,68.851723,411.81036,1004.0515,131.14827,988.18964,2295.9485,0.65574139,0.70584977,0.69574201
16.333334,3940.4482,2849.0002,1271.9956,68.853683,411.89481,1004.2596,131.14632,988.10522,2295.7405,0.65573162,0.70578945,0.69567889
16.375,3937.4668,2846.8889,1268.2621,68.85556,411.97879,1004.4641,131.14444,988.02118,2295.5359,0.6557222,0.70572942,0.6956169
16.416666,3934.5427,2844.7964,1264.6128,68.857353,412.06235,1004.6652,131.14264,987.93762,2295.3347,0.6557132,0.70566976,0.69555598
16.458334,3931.6741,2842.7224,1261.0441,68.859077,412.14545,1004.8629,131.14093,987.85455,2295.1372,0.65570462,0.70561039,0.69549608
16.5,3928.8589,2840.6672,1257.5521,68.860725,412.22812,1005.0573,131.13928,987.77191,2294.9426,0.65569639,0.70555133,0.69543719
16.541666,3926.095,2838.6304,1254.1337,68.862297,412.31033,1005.2486,131.1377,987.68964,2294.7515,0.65568852,0.70549262,0.6953792
16.583334,1705.4037,2835.4771,1249.5892,551.87769,412.40549,1005.4698,1048.1223,987.59448,2294.53,0.65507644,0.70542467,0.69531214
16.625,1635.7678,2831.1885,1243.9023,552.18073,412.51379,1005.7214,1047.8193,987.48621,2294.2786,0.65488708,0.7053473,0.69523591
