TIME,WBHP:P1,WBHP:P2,WBHP:P3,WOPR:P1,WOPR:P2,WOPR:P3,WWPR:P1,WWPR:P2,WWPR:P3,WWCT:P1,WWCT:P2,WWCT:P3
4.125,3503.1562,3800.7373,2329.3298,217.8681,217.35207,724.43921,382.1319,582.64795,1775.5608,0.63688648,0.72830993,0.71022433
4.1666665,3500.5618,3799.1304,2325.2507,217.75945,217.40778,724.77637,382.24057,582.59222,1775.2236,0.63706762,0.72824025,0.71008945
4.2083335,3498.0142,3797.5115,2321.272,217.65111,217.46352,725.10986,382.34888,582.5365,1774.8901,0.63724816,0.72817057,0.70995605
4.25,3495.512,3795.8823,2317.3877,217.54312,217.51926,725.43976,382.45688,582.48071,1774.5602,0.6374281,0.7281009,0.70982409
4.2916665,3493.053,3794.2451,2313.5925,217.43549,217.575,725.76624,382.56451,582.42499,1774.2338,0.63760751,0.72803128,0.70969349
4.3333335,3490.636,3792.6013,2309.8816,217.3282,217.63072,726.08942,382.67178,582.36926,1773.9106,0.63778633,0.7279616,0.70956427
4.375,3488.2593,3790.9524,2306.251,217.22128,217.68642,726.4093,382.77872,582.3136,1773.5907,0.63796455,0.72789198,0.7094363
4.4166665,3485.9211,3789.3,2302.6963,217.11473,217.74208,726.72601,382.88528,582.25793,1773.274,0.63814211,0.72782242,0.70930958
4.4583335,3483.6204,3787.6453,2299.2136,217.00854,217.7977,727.03967,382.99146,582.20227,1772.9603,0.63831908,0.72775286,0.70918411
4.5,3481.3555,3785.9893,2295.8,216.90273,217.85327,727.35028,383.09729,582.14673,1772.6497,0.63849545,0.72768342,0.70905989
4.5416665,3479.1255,3784.3328,2292.4519,216.79727,217.9088,727.65802,383.20273,582.09119,1772.342,0.63867122,0.72761399,0.70893681
4.5833335,3474.4089,761.54437,2289.1335,216.70549,1070.2474,727.9635,383.29449,2829.7524,1772.0365,0.63882416,0.72557759,0.70881462
4.625,3467.1746,608.18457,2285.7944,216.62692,1075.6495,728.26782,383.37308,2824.3503,1771.7322,0.63895512,0.72419244,0.70869285
4.6666665,3458.0532,502.65994,2282.3867,216.55811,1079.6841,728.5719,383.44189,2820.3159,1771.4281,0.6390698,0.72315794,0.70857126
4.7083335,3447.7034,425.7612,2278.8723,216.49559,1082.892,728.87653,383.50439,2817.1082,1771.1235,0.63917398,0.7223354,0.70844942
4.75,3436.6477,367.02475,2275.2256,216.43671,1085.5702,729.18219,383.56329,2814.4297,1770.8179,0.63927215,0.72164869,0.70832711
4.7916665,3425.2598,320.28387,2271.4321,216.37952,1087.8955,729.48914,383.62048,2812.1045,1770.5109,0.63936746,0.72105247,0.70820433
4.8333335,3415.0989,281.78052,3493.5837,216.3154,1089.9757,261.82932,383.6846,2810.0242,638.17065,0.63947433,0.72051907,0.70907855
4.875,3406.2964,249.15465,3562.9675,216.24547,1091.8792,261.35657,383.75455,2808.1208,638.64343,0.63959092,0.72003096,0.70960385
4.9166665,3398.6511,220.88022,3609.187,216.17105,1093.6499,261.06311,383.82895,2806.3501,638.93689,0.6397149,0.71957695,0.70992988
4.9583335,3391.9128,195.93414,3641.229,216.09306,1095.3174,260.8699,383.90692,2804.6826,639.13007,0.63984489,0.71914941,0.71014452
5,3385.8481,173.6093,3664.2212,216.01263,1096.9023,260.73993,383.98737,2803.0977,639.26007,0.63997895,0.71874297,0.71028894
5.0416665,3380.282,153.40118,3681.2166,215.93062,1098.4192,260.65182,384.0694,2801.5808,639.34814,0.64011562,0.71835405,0.71038687
5.0833335,3375.0881,134.93889,3694.0925,215.84758,1099.8788,260.5925,384.15244,2800.1211,639.40747,0.64025402,0.71797979,0.7104528
5.125,3370.1777,117.94196,3704.0403,215.76395,1101.2893,260.55368,384.23605,2798.7107,639.44635,0.64039344,0.71761817,0.71049595
5.1666665,3365.4888,102.19296,3711.8386,215.67998,1102.6567,260.52988,384.32004,2797.3433,639.47015,0.64053339,0.71726751,0.71052235
5.2083335,3360.9775,87.519554,3718.0127,215.59587,1103.9863,260.51746,384.40411,2796.0137,639.48254,0.64067352,0.71692657,0.71053618
5.25,3356.6133,73.78244,3722.928,215.51176,1105.2821,260.51382,384.48825,2794.718,639.48615,0.64081371,0.71659434,0.71054018
5.2916665,3352.373,60.867256,3726.8455,215.42772,1106.5472,260.51718,384.57227,2793.4529,639.48285,0.64095378,0.71626997,0.71053648
5.3333335,3348.241,48.67878,3729.957,215.34383,1107.7844,260.52615,384.65619,2792.2156,639.47382,0.64109361,0.71595269,0.71052647
5.375,3344.2048,37.136814,3732.4072,215.2601,1108.9961,260.53973,384.7399,2791.0039,639.46027,0.64123315,0.71564204,0.71051139
5.4166665,3340.2554,26.173185,3734.3066,215.17657,1110.1843,260.55716,384.82343,2789.8157,639.44287,0.64137238,0.71533734,0.71049207
5.4583335,3336.3853,15.729445,3735.7429,215.09328,1111.3506,260.57776,384.90674,2788.6494,639.42224,0.6415112,0.7150383,0.71046913
5.5,3332.5891,14.7,3736.7854,215.01022,1109.7216,260.6011,384.98978,2780.5491,639.39893,0.64164966,0.71474439,0.7104432
5.5416665,3331.5547,3280.7498,3737.5244,214.91219,170.01604,260.6265,385.0878,429.98395,639.37354,0.64181304,0.71663994,0.71041501
5.5833335,3333.3215,3424.8567,3738.0549,214.79918,169.32649,260.65326,385.20081,430.67349,639.34674,0.64200139,0.71778917,0.71038526
5.625,3337.217,3521.0654,3738.4622,214.67471,168.88535,260.68082,385.32529,431.11465,639.31921,0.64220881,0.7185244,0.71035463
5.6666665,3342.5334,3588.6633,3738.8157,214.54256,168.58345,260.70865,385.45743,431.41656,639.29138,0.64242905,0.71902758,0.71032375
5.7083335,3348.7058,3638.1536,3739.167,214.40573,168.36856,260.73639,385.59427,431.63144,639.26361,0.6426571,0.71938574,0.71029288
5.75,3355.2827,3675.7502,3739.5518,214.26797,168.21057,260.76382,385.73203,431.78943,639.23621,0.6428867,0.71964902,0.71026242
5.7916665,3362.0308,3705.2605,3739.9929,214.13,168.09122,260.79077,385.87,431.90878,639.20923,0.64311665,0.71984798,0.7102325
5.8333335,3368.7703,3729.0874,3740.5032,213.99265,167.99895,260.81714,386.00735,432.00107,639.18286,0.64334559,0.72000176,0.71020317
5.875,3375.3875,3748.7932,3741.0879,213.85648,167.92632,260.8429,386.14352,432.0737,639.1571,0.64357251,0.72012281,0.71017456
5.9166665,3381.8113,3765.4224,3741.7473,213.72183,167.86832,260.86807,386.27817,432.13168,639.1319,0.64379692,0.72021949,0.71014661
5.9583335,3709.2729,3779.8525,3742.6377,142.35794,167.82077,260.89148,257.64206,432.17923,639.10852,0.64410514,0.72029871,0.71012056
6,3724.4558,3792.594,3743.7559,142.26485,167.78125,260.91318,257.73514,432.21875,639.08685,0.64433789,0.72036457,0.71009648
6.0416665,3736.3125,3803.9741,3745.0547,142.18178,167.74818,260.93353,257.81821,432.2518,639.06647,0.64454556,0.7204197,0.71007383
6.0833335,3746.1052,3814.2231,3746.4841,142.10559,167.7205,260.95291,257.89441,432.27951,639.04712,0.64473605,0.72046584,0.71005231
6.125,3754.5044,3823.5137,3748.002,142.03415,167.69736,260.97162,257.96585,432.30264,639.02838,0.64491463,0.7205044,0.71003157
6.1666665,3761.9087,3831.9814,3749.5762,141.96614,167.6781,260.98984,258.03387,432.3219,639.01013,0.64508468,0.72053647,0.7100113
6.2083335,3768.5659,3839.7354,3751.1826,141.90076,167.66223,261.00781,258.09924,432.33777,638.99219,0.64524812,0.72056293,0.70999134
6.25,3774.6375,3846.865,3752.804,141.83746,167.64931,261.0256,258.16254,432.35068,638.97437,0.64540637,0.72058451,0.70997155
6.2916665,3780.2327,3853.4451,3754.4268,141.77589,167.63898,261.04337,258.22409,432.36102,638.95667,0.64556026,0.72060168,0.70995182
6.3333335,3785.4277,3859.5381,3756.0413,141.71581,167.63094,261.0611,258.28421,432.36905,638.9389,0.64571047,0.72061509,0.70993215
6.375,3790.2795,3865.1973,3757.6401,141.657,167.62495,261.07889,258.34302,432.37506,638.92114,0.64585751,0.7206251,0.70991236
6.4166665,3794.8306,3870.4685,3759.218,141.59932,167.62077,261.09674,258.40067,432.37921,638.90326,0.6460017,0.72063202,0.70989251
6.4583335,3799.1143,3875.3904,3760.7705,141.54268,167.61824,261.11475,258.45731,432.38177,638.88525,0.64614332,0.72063625,0.70987248
6.5,3803.1582,3879.9971,3762.2949,141.48697,167.61717,261.13287,258.51303,432.38281,638.86713,0.64628255,0.72063804,0.70985234
6.5416665,3806.9846,3884.3181,3763.7888,141.43213,167.61745,261.15118,258.56787,432.38254,638.84882,0.6464197,0.72063756,0.70983201
6.5833335,3810.6125,3888.3789,3765.2502,141.37807,167.61894,261.16965,258.62192,432.38107,638.83038,0.64655483,0.72063512,0.70981151
6.625,3814.0583,3892.2026,3766.6785,141.32475,167.62154,261.18829,258.67523,432.37848,638.81171,0.6466881,0.72063076,0.70979083
6.6666665,3817.3359,3895.8093,3768.0725,141.27213,167.62514,261.20709,258.72787,432.37488,638.79291,0.64681971,0.7206248,0.7097699
6.7083335,3820.4583,3899.2163,3769.4321,141.22015,167.62965,261.2261,258.77985,432.37033,638.77393,0.64694965,0.72061723,0.7097488
6.75,3823.4358,3902.4395,3770.7568,141.16878,167.63503,261.2453,258.83121,432.36496,638.7547,0.64707804,0.72060829,0.70972747
6.7916665,3826.2791,3905.4932,3772.0471,141.11798,167.64119,261.26465,258.88202,432.35883,638.73535,0.64720505,0.72059804,0.70970595
6.8333335,3828.9963,3908.3901,3773.3027,141.06773,167.64806,261.28421,258.93225,432.35193,638.71576,0.64733064,0.72058654,0.70968419
6.875,3831.5962,3911.1414,3774.5239,141.01801,167.65561,261.30396,258.98199,432.34439,638.69604,0.64745498,0.72057396,0.70966226
6.9166665,3834.0857,3913.7573,3775.7114,140.96878,167.66377,261.32388,259.03122,432.33624,638.67615,0.64757806,0.72056037,0.70964015
6.9583335,3836.4714,3916.2473,3776.8657,140.92,167.6725,261.34396,259.07999,432.32748,638.65607,0.64770001,0.72054583,0.70961779
7,3838.7595,3918.6196,3777.9873,140.87169,167.68178,261.36423,259.12833,432.31821,638.6358,0.64782077,0.72053039,0.70959532
7.0416665,3840.9558,3920.8823,3779.0767,140.82379,167.69154,261.38464,259.17621,432.30844,638.61536,0.64794052,0.72051406,0.70957261
7.0833335,3843.0652,3923.0417,3780.1345,140.77632,167.70178,261.40524,259.22369,432.29822,638.59479,0.64805919,0.72049701,0.70954973
7.125,3845.0928,3925.105,3781.1616,140.72923,167.71245,261.42599,259.27078,432.28754,638.57404,0.64817691,0.72047925,0.70952666
7.1666665,3847.0425,3927.0774,3782.1587,140.68253,167.72353,261.44687,259.31747,432.27646,638.5531,0.64829367,0.72046077,0.70950347
7.2083335,3848.9185,3928.9644,3783.1265,140.63618,167.73499,261.46793,259.36383,432.26501,638.5321,0.64840955,0.7204417,0.70948011
7.25,3850.7249,3930.771,3784.0654,140.59019,167.7468,261.48911,259.40982,432.2532,638.51086,0.64852452,0.72042203,0.70945656
7.2916665,3852.4648,3932.5017,3784.9766,140.54454,167.75894,261.51044,259.45547,432.24106,638.48956,0.64863867,0.72040176,0.70943284
7.3333335,3854.1418,3934.1609,3785.8604,140.49922,167.77141,261.53189,259.50079,432.22858,638.46814,0.64875197,0.72038096,0.709409
7.375,3855.759,3935.7524,3786.7175,140.45421,167.78418,261.55347,259.54578,432.21582,638.44653,0.64886451,0.72035968,0.70938504
7.4166665,3857.3188,3937.2798,3787.5491,140.40952,167.79723,261.57516,259.59048,432.20279,638.4248,0.64897621,0.72033799,0.7093609
7.4583335,3858.8245,3938.7461,3788.3555,140.36511,167.81053,261.59698,259.63489,432.18945,638.40302,0.64908725,0.72031575,0.7093367
7.5,3860.2781,3940.155,3789.1375,140.321,167.8241,261.61893,259.67902,432.1759,638.3811,0.64919752,0.72029316,0.70931232
7.5416665,3861.6821,3941.509,3789.8958,140.27716,167.83789,261.64096,259.72284,432.16211,638.35907,0.64930713,0.72027022,0.70928782
7.5833335,3863.0391,3942.8108,3790.6309,140.2336,167.8519,261.66309,259.76642,432.1481,638.33691,0.64941603,0.72024685,0.70926321
